PMID,CitedBy
28343983,"['39358345', '39134648', '38979277', '38774128', '38706720', '38410444', '38274274', '38201259', '38181737', '38155636', '37904933', '37702917', '37540754', '37497776', '37280707', '37256241', '36847616', '36792779', '36621005', '36434136', '36427492', '35815953', '35789385', '35740381', '35681423', '35679330', '35672317', '35637409', '35538076', '35333572', '35075135', '35063129', '35042926', '34870838', '34870827', '34661235', '34616727', '34597600', '34550730', '34463252', '34446705', '34446700', '34440818', '34399163', '34133938', '34033652', '33979598', '33915080', '33570781', '33449167', '33348832', '33144328', '33087559', '32895477', '32601281', '32544168', '32521498', '32393886', '32302559', '32048992', '31888235', '31790696', '31768223', '31710181', '31552244', '31428613', '31287022', '31078527', '31056477', '31006620', '30979898', '30700715', '30413530', '30349051', '30267684', '30127506', '29939183', '29893019', '29861859', '29622030', '29367672', '29276809', '29254992', '29186120', '28945704', '28725650', '28668635']"
28343984,"['39253469', '38773319', '38629780', '38177201', '37403181', '37319212', '37259007', '36269226', '35950466', '35470772', '35408902', '35355366', '34576874', '34312250', '34187807', '34075512', '33906087', '33207804', '33050790', '32988987', '32567155', '32504079', '32253254', '31866222', '31509744', '31310235', '31231694', '31096847', '30543448', '30470486', '30427308', '30287514', '30246785', '30040989', '29985130', '29959232', '29875692', '29498662', '29167803', '28925355']"
28343996,"['37894674', '30032434', '29674755']"
28343999,"['37564277', '35515392', '35378862', '34900955', '34815809', '34711697', '34612061', '33748608', '33705116', '33490977', '33257861', '32953138', '32934781', '32923589', '32785039', '32302801', '32172030', '32154424', '31191670', '30773484', '30627175', '30578106', '30565891', '30078557', '29984113', '29422650', '28936269']"
28344000,"['39131195', '39118186', '38671768', '38590903', '38255775', '37920327', '37497008', '37106420', '37008367', '36670309', '36551002', '36442812', '36429123', '36139322', '36135018', '35923228', '35647577', '34917671', '34603253', '34571712', '34395032', '33736676', '33691792', '33638203', '33241206', '33036257', '32984373', '32283585', '32270277', '32231153', '32221645', '32207030', '32099092', '32012379', '31863336', '31830357', '31557851', '31406506', '31383635', '31322470', '31300517', '31207892', '31155493', '31086460', '31081815', '31040885', '30092828', '29604290', '29561796']"
28344001,"['39464154', '39351194', '38871849', '38755290', '38680679', '38667289', '38407313', '38103231', '37701566', '37558186', '37557073', '37485646', '37248947', '37029764', '36947608', '36917981', '36894612', '36396935', '36251998', '36217550', '36186864', '35959725', '35625626', '35508140', '35223826', '35171685', '35107767', '35053357', '34933254', '34685536', '34367185', '34040001', '33994951', '33959101', '33843988', '33804060', '33767446', '33552683', '33275879', '33213155', '33195187', '33042008', '32585982', '32508594', '32232889', '32024766', '31940887', '31921109', '31904857', '31746148', '31559012', '31408504', '30503262', '30451850', '29892259', '29489750', '29463682', '29382828', '29352121', '29337119']"
28344002,"['39492921', '39337280', '39196480', '38748577', '38742231', '38612385', '38519702', '38473836', '38193670', '38115090', '38010253', '37907966', '37772328', '37752338', '37628879', '37508911', '37424947', '37340938', '37339009', '37274933', '37242623', '37139492', '37116621', '37056118', '37014916', '36982697', '36891355', '36834841', '36831595', '36769032', '36561642', '36545654', '36527159', '36291161', '36289516', '36219377', '36009030', '35892819', '35887162', '35757028', '35745880', '35733046', '35506651', '35456571', '35308826', '35240972', '35123529', '35063127', '35063125', '35057544', '35049748', '34935086', '34831406', '34815809', '34716922', '34693102', '34677787', '34566630', '34396716', '34299328', '34105297', '34075728', '34041235', '33921018', '33868008', '33688617', '33551572', '33542947', '33542154', '33322247', '33210214', '33076946', '32973223', '32922120', '32637449', '32627410', '32571983', '32571167', '32456699', '32423328', '32321535', '32321511', '32316221', '32228708', '32228633', '32175838', '32138745', '31998702', '31914314', '31878184', '31637161', '31624315', '31495714', '31462266', '31391546', '31387594', '31263460', '31244605', '31191497', '31167667', '31016348', '30979929', '30939814', '30891496', '30873582', '30773484', '30745035', '30523753', '30514389', '30387070', '30252599', '30032046', '29915815', '29897225', '29887937', '29802036', '29743549', '29560581', '29464550', '29463314', '29441348', '29382846', '29312938', '29251840', '29171420', '29059256', '28957666', '28824376']"
28344003,"['39006182', '38645145', '37880800', '36340790', '36226315', '35817793', '35759110', '35651675', '35623351', '35359577', '34982276', '34954425', '34828352', '34417327', '34173252', '33923449', '33669772', '33445520', '33390815', '33293833', '32880951', '32574724', '32430065', '32075691', '31921404', '31591157', '31398277', '31070828', '30581017', '30526865', '30419159', '30187003', '30144504', '29389670', '29326542', '29311260', '28973543']"
28344004,"['39518932', '39238829', '38750021', '38335956', '38249721', '37887306', '37748419', '37558192', '37402774', '36589834', '35804197', '35725756', '35223983', '34976071', '34925225', '34814742', '34765608', '34743649', '34699309', '34586189', '33946412', '33593128', '33463067', '33422149', '33407847', '33318306', '32967719', '32791453', '32627865', '32280568', '32206736', '31638302', '31501411', '31408999', '31340985', '31332317', '31316098', '31045948', '31031798', '30918921', '30460337', '30153612', '29549281', '29339725', '29304378']"
28344005,"['39224604', '38928049', '38288355', '38062510', '37501663', '37128275', '36937621', '35741010', '35685988', '35505438', '35454778', '35186936', '34572306', '34497505', '34150065', '34070455', '33946143', '33898453', '33833530', '33013286', '32050773', '31944217', '31933774', '29743892', '29358957', '29178897', '29057267', '28990109']"
